months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported,policy_bind_year
249,44,IN,C,2000,1043.82,7000000,FEMALE,PhD,base-jumping,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,4,1,?,2,2,YES,10900,7200,33440,Mercedes,2011,N,1999
173,34,OH,C,1000,1679.52,5000000,FEMALE,Associate,video-games,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,1,1,NO,1,2,NO,9360,7600,30100,Accura,2003,N,2009
10,29,IN,C,2000,1329.81,0,MALE,Masters,golf,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,21,3,YES,1,3,YES,11000,14700,28900,Toyota,2010,N,1996
198,24,IN,A,2000,1770.97,1000000,FEMALE,College,board-games,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,6,2,YES,2,1,NO,11860,16970,34440,Jeep,2014,N,2007
357,38,IN,C,2000,1323.99,0,FEMALE,Masters,movies,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,19,2,YES,2,2,YES,11400,7300,42200,Nissan,1996,N,1996
345,46,OH,B,2000,1551.23,0,MALE,College,camping,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,2,3,?,2,0,YES,21300,4000,53300,Toyota,2001,N,2013
75,24,IN,B,500,1414.21,1000000,FEMALE,MD,camping,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,12,1,NO,0,0,NO,4800,8000,22900,Suburu,1993,N,2008
262,36,IL,C,1000,792.98,2000000,FEMALE,High School,basketball,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,22,4,?,1,3,YES,14000,3540,28200,Toyota,2007,N,2013
258,40,IL,A,500,1692.22,5000000,FEMALE,MD,movies,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,14,2,?,2,2,YES,9920,5920,41450,Jeep,2008,N,1994
212,29,IL,C,1000,1328.72,2000000,FEMALE,High School,exercise,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,18,4,?,1,3,YES,6080,7950,48200,Nissan,2007,N,2009
154,37,IN,C,1000,1053.15,1000000,FEMALE,Masters,skydiving,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,14,4,?,0,2,NO,4960,7050,7960,Jeep,2013,N,2011
22,30,IN,B,2000,1696.39,1000000,MALE,JD,polo,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,15,2,YES,0,3,YES,4200,16150,28700,Dodge,2010,N,2002
284,52,IN,A,1000,1086.45,0,MALE,College,hiking,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,23,5,NO,1,1,YES,1720,1000,28700,Honda,2006,N,1994
300,37,OH,A,1000,1284.09,4000000,FEMALE,High School,yachting,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,WV,19,2,?,2,2,NO,10200,10680,37310,Volkswagen,2011,N,2000
317,37,IL,B,2000,1086.56,0,MALE,College,reading,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,18,3,YES,2,4,YES,5300,12900,62560,Audi,2012,N,2006
651,58,IL,A,2000,1328.75,1000000,FEMALE,College,cross-fit,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,19,2,NO,0,0,NO,8900,12220,43000,Honda,2006,N,1997
1,20,IN,B,500,1098.68,0,FEMALE,Associate,basketball,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,18,1,?,2,2,NO,9850,10200,40490,Mercedes,2009,N,2005
551,64,OH,C,2000,1438.14,0,MALE,JD,bungie-jumping,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,20,3,NO,1,2,NO,13700,17980,32000,Nissan,2002,N,2000
61,31,OH,B,500,2050.95,6000000,MALE,College,kayaking,Single Vehicle Collision,Rear Collision,Total Loss,Police,WV,21,1,?,3,1,YES,3900,3780,19900,Volkswagen,2003,N,1995
288,48,OH,C,2000,1437.87,0,FEMALE,MD,polo,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,21,3,NO,1,3,NO,100,6560,34060,Mercedes,1998,N,2002
70,30,IL,A,1000,1040.3,6000000,FEMALE,College,sleeping,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,16,2,YES,2,0,YES,13870,8200,79100,BMW,2003,N,2010
113,42,IN,A,500,2007.65,0,MALE,JD,exercise,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,12,2,YES,0,2,YES,0,10390,61800,Ford,2001,N,2009
27,34,OH,B,2000,1251.36,0,MALE,Associate,video-games,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,15,1,YES,0,2,NO,9300,7570,41300,Mercedes,1999,N,1995
434,57,OH,B,1000,1229.39,0,FEMALE,JD,movies,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,11,1,?,1,3,YES,6300,540,29700,Mercedes,2000,N,1991
289,29,OH,B,500,1056.26,0,MALE,MD,movies,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,24,1,YES,2,1,YES,16000,10900,44200,Ford,2011,N,1990
307,47,IL,B,1000,1456.56,4000000,MALE,High School,movies,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,8,1,?,1,2,YES,9820,2400,44150,BMW,2009,N,1999
132,46,OH,A,1000,1448.19,8000000,MALE,College,camping,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,14,3,NO,1,0,NO,18400,13200,44500,BMW,1998,N,1993
310,43,IL,A,2000,1395.48,1000000,FEMALE,High School,kayaking,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,8,4,NO,3,1,YES,1500,16200,63900,Suburu,2010,N,2013
140,17,IN,B,1000,833.07,2000000,FEMALE,MD,camping,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,19,1,NO,1,0,NO,1790,12200,23200,Suburu,1993,N,2008
63,23,OH,A,2000,576.36,6000000,FEMALE,High School,movies,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,21,3,NO,1,3,YES,23500,22100,42900,Jeep,1993,N,2006
124,31,IN,C,2000,1189.89,1000000,MALE,Masters,yachting,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NY,10,1,NO,0,3,NO,5850,7900,66500,Dodge,2008,N,2005
524,69,IL,A,2000,1221.08,0,FEMALE,High School,reading,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,17,1,YES,2,1,YES,10440,13260,65330,Suburu,2002,N,1999
325,52,OH,A,2000,1145.6,1000000,FEMALE,PhD,exercise,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,2,1,NO,4,1,YES,18360,17100,72300,Saab,2001,N,1991
506,62,OH,A,2000,1491.15,1000000,FEMALE,High School,skydiving,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,21,3,YES,1,2,YES,16900,18070,75140,Audi,2004,N,1999
27,21,OH,B,2000,1565.34,0,FEMALE,Associate,bungie-jumping,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,8,1,YES,2,3,NO,9100,12800,55900,Saab,2002,N,2005
385,41,IL,B,1000,1101.44,2000000,MALE,PhD,golf,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,5,4,YES,1,1,NO,7640,6090,4000,Chevrolet,2003,N,1999
359,62,IL,B,500,784.94,0,MALE,PhD,golf,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,1,3,YES,1,1,NO,0,5380,34600,Chevrolet,1997,N,1999
104,40,IN,A,500,1256.29,0,MALE,PhD,polo,Single Vehicle Collision,Side Collision,Minor Damage,Fire,VA,20,1,?,1,0,NO,4760,10370,23900,Chevrolet,1997,N,1996
303,49,OH,B,2000,978.07,0,FEMALE,College,camping,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,12,3,NO,1,2,NO,17200,6790,35600,Chevrolet,2009,N,1992
288,42,IN,B,500,947.12,0,FEMALE,Masters,exercise,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,10,5,?,2,2,YES,11500,5260,39300,Toyota,2010,N,1990
139,29,OH,A,2000,1553.7,3000000,FEMALE,PhD,board-games,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,4,3,NO,2,3,NO,10000,3900,44320,Dodge,2007,N,2000
478,56,OH,C,1000,1590.54,1000000,FEMALE,MD,chess,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,9,1,YES,0,4,YES,10640,8220,44440,Accura,2008,N,1991
425,54,OH,B,2000,1787.26,0,MALE,College,camping,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,1,2,?,1,0,YES,17650,4560,58200,Toyota,1997,N,2013
285,43,IN,B,2000,1258.49,10000000,FEMALE,JD,sleeping,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,11,5,YES,1,2,YES,6170,1500,48900,Dodge,2001,N,2005
410,58,OH,B,2000,1641.61,0,FEMALE,Masters,video-games,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,8,2,YES,2,4,NO,0,16700,67100,Jeep,2014,N,1995
94,30,IL,C,2000,630.02,4000000,MALE,College,golf,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,22,4,YES,2,1,NO,0,14610,30300,Mercedes,1998,N,1998
205,38,IL,B,1000,1285.16,0,FEMALE,JD,video-games,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,WV,6,3,NO,1,0,NO,7140,6700,52800,Volkswagen,2004,N,2006
176,34,IL,A,2000,938.62,1000000,FEMALE,Associate,exercise,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,7,1,YES,1,1,NO,6400,10600,60100,Nissan,2008,N,2009
40,16,OH,A,1000,960.25,1000000,FEMALE,JD,skydiving,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,6,4,?,1,1,NO,14800,14000,24500,Nissan,2008,N,2014
68,41,IL,A,1000,870.16,6000000,FEMALE,College,sleeping,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,17,3,YES,1,1,YES,15700,7100,57420,BMW,1994,N,2010
391,44,IL,A,2000,940.62,0,FEMALE,MD,exercise,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,9,4,NO,2,2,NO,19500,900,39800,Jeep,2012,N,1992
507,63,IN,C,2000,834.79,0,MALE,Masters,bungie-jumping,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,2,1,YES,2,4,NO,12900,17800,21600,Nissan,2008,N,2003
293,38,IL,A,500,1435.64,1000000,FEMALE,MD,movies,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,17,4,YES,0,0,NO,0,12900,34010,Jeep,2001,N,2006
396,61,OH,A,1000,1019.02,0,FEMALE,JD,base-jumping,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,10,3,NO,1,4,NO,0,5000,33990,Suburu,2001,N,2008
104,20,OH,A,1000,1517.77,1000000,MALE,MD,sleeping,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,12,3,YES,2,1,NO,16500,3220,52700,Saab,2003,N,2002
138,41,IL,B,500,1015.74,0,MALE,High School,paintball,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,0,1,?,0,1,NO,13000,17700,58650,Nissan,1998,N,1994
212,44,IL,C,1000,1209.61,1000000,MALE,College,bungie-jumping,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,15,1,NO,0,2,NO,9620,15040,56500,Suburu,2011,N,1995
98,51,OH,A,500,1520.97,0,MALE,JD,camping,Multi-vehicle Collision,Rear Collision,Major Damage,Police,SC,13,4,NO,2,0,YES,14300,5800,74400,BMW,2013,N,2004
10,48,IL,C,1000,1351.68,0,MALE,JD,skydiving,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,11,3,NO,2,1,NO,6530,6200,43230,Honda,1993,N,1991
207,32,IL,C,2000,1080.26,7000000,MALE,MD,video-games,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,WV,13,3,YES,1,1,NO,1340,0,47420,Dodge,2001,N,1993
145,33,IL,C,2000,1420.5,5000000,FEMALE,PhD,bungie-jumping,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,16,1,NO,1,4,NO,6370,1210,29860,Suburu,2005,N,1991
66,50,IN,B,1000,987.79,1000000,FEMALE,JD,kayaking,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,17,4,?,3,2,YES,7780,14990,73560,Chevrolet,1999,N,1991
175,34,IN,B,500,1610.6,3000000,FEMALE,Associate,basketball,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,9,1,?,1,2,NO,19010,10780,47640,Mercedes,2006,N,2005
62,35,IL,B,500,1094.55,3000000,MALE,High School,paintball,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,3,2,?,1,0,NO,18850,9200,43600,Nissan,2000,N,1994
159,17,OH,C,1000,918.12,0,FEMALE,JD,movies,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,14,1,YES,3,1,NO,9600,6100,51900,Ford,2012,N,1991
226,45,IL,C,500,1386.12,1000000,MALE,College,bungie-jumping,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,21,1,NO,2,2,NO,4390,12590,61970,Suburu,2008,N,1995
304,46,OH,C,500,1443.5,0,FEMALE,Masters,bungie-jumping,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,14,1,?,0,1,YES,5600,11800,40900,Mercedes,2004,N,2001
296,48,OH,B,500,1536.5,0,FEMALE,College,exercise,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,12,1,NO,3,3,NO,3500,8900,6550,Jeep,2010,N,2008
408,58,OH,A,2000,1252.93,1000000,FEMALE,JD,base-jumping,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,4,3,NO,1,3,NO,1600,0,24000,Suburu,1987,N,2008
293,47,IN,A,500,702.62,0,MALE,College,kayaking,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,1,2,NO,1,3,NO,2600,17500,54600,Ford,2005,N,1996
338,50,OH,A,1000,1284.57,7000000,FEMALE,Masters,paintball,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,6,1,?,1,0,YES,7280,16740,19330,Accura,2000,N,2011
246,45,IN,C,2000,1317.09,1000000,MALE,Masters,basketball,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,5,1,YES,0,2,YES,6290,18280,54670,Jeep,1998,N,2013
258,50,IN,A,1000,970.36,0,FEMALE,College,dancing,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,SC,4,1,?,0,0,NO,19030,300,68000,Accura,1998,N,2005
288,31,OH,A,1000,1176.62,0,FEMALE,JD,skydiving,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,12,3,NO,0,3,YES,16600,6200,62460,Dodge,2012,N,2010
199,45,IN,C,2000,1356.59,0,MALE,Masters,basketball,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,6,1,YES,0,1,YES,5300,10700,50700,Jeep,2007,N,2013
193,46,OH,B,500,1557.03,0,FEMALE,College,video-games,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,16,1,?,1,1,YES,7100,14390,66300,Dodge,2011,N,2009
439,67,OH,B,500,609.53,0,FEMALE,Associate,reading,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,17,3,NO,1,1,NO,0,3970,25600,BMW,1999,N,1990
259,44,IN,B,1000,1280.7,0,MALE,High School,bungie-jumping,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,10,4,YES,0,3,YES,4800,15130,43800,Audi,2008,N,2008
75,27,OH,A,500,960.43,0,FEMALE,Masters,polo,Single Vehicle Collision,Side Collision,Minor Damage,Police,NY,4,2,?,2,0,YES,5100,4610,2600,Ford,1998,N,2004
357,37,OH,B,2000,897.0,1000000,MALE,Masters,camping,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,15,1,?,1,2,YES,700,7000,45250,Chevrolet,2004,N,1991
69,28,IN,A,2000,1167.87,1000000,FEMALE,Masters,kayaking,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,NY,13,2,YES,1,0,NO,3940,4900,31680,Toyota,2004,N,2006
199,35,IL,A,500,1427.36,1000000,FEMALE,Masters,reading,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,4,5,?,0,3,NO,7500,16690,80300,BMW,1998,N,1990
154,49,OH,C,500,1255.05,0,FEMALE,College,kayaking,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,14,1,?,0,1,YES,9100,16300,32000,Honda,1995,N,2005
113,50,IL,A,1000,1638.66,0,FEMALE,Associate,yachting,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,17,3,YES,2,0,YES,9700,8500,19790,BMW,2000,N,2004
142,27,OH,A,2000,1071.0,6000000,FEMALE,High School,movies,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,21,3,NO,1,2,YES,15800,10400,30920,Jeep,1996,N,2006
410,71,IN,A,1000,1302.38,2000000,FEMALE,High School,bungie-jumping,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,16,2,NO,3,1,NO,0,5300,43510,Volkswagen,2000,N,1992
105,26,OH,A,500,1434.09,1000000,FEMALE,High School,bungie-jumping,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,14,3,NO,2,0,NO,6000,1970,3270,Ford,2006,N,2001
259,52,IL,C,2000,1185.27,0,FEMALE,PhD,basketball,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,16,1,NO,1,2,NO,12000,14100,74300,Accura,2011,N,2014
194,44,IN,B,500,368.81,2000000,FEMALE,PhD,skydiving,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,5,1,?,0,2,NO,21100,16540,68600,Dodge,2007,N,2005
98,31,OH,B,2000,1866.02,0,MALE,High School,paintball,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,4,4,NO,1,1,NO,7010,6370,33400,Accura,2009,N,1994
129,27,OH,C,500,1114.47,3000000,MALE,Masters,golf,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,4,3,NO,0,3,YES,11980,18600,62790,Accura,2004,N,1994
223,48,OH,A,2000,1220.06,0,MALE,High School,reading,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NY,3,1,NO,1,1,NO,8700,7500,58400,Accura,2001,N,1995
197,39,IL,C,2000,1421.93,2000000,FEMALE,PhD,basketball,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,10,2,NO,3,3,NO,12400,11230,38100,Accura,2012,N,2014
120,22,IL,A,1000,1341.06,1000000,MALE,Masters,camping,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,3,2,?,1,1,NO,9000,8900,104140,BMW,1990,N,2001
131,28,IL,B,1000,1506.14,0,FEMALE,Masters,polo,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,PA,18,2,NO,1,0,YES,14600,16040,76900,Mercedes,2007,N,2003
271,47,OH,C,1000,895.55,0,FEMALE,JD,polo,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,12,1,YES,1,3,NO,15100,9100,44600,Volkswagen,2009,N,2013
408,29,IN,C,500,1137.99,0,MALE,Masters,kayaking,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,8,1,NO,1,0,NO,7700,11700,55470,Saab,2008,N,2014
124,40,OH,B,2000,1210.18,0,FEMALE,MD,basketball,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,17,3,?,1,3,YES,16000,13670,47100,Ford,2009,N,2007
128,28,IN,B,500,1148.0,0,FEMALE,Associate,basketball,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,12,1,?,2,3,NO,7600,15600,31200,Mercedes,2011,N,2005
214,43,IN,B,1000,1121.73,0,FEMALE,Masters,exercise,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,13,4,?,2,1,YES,11600,1880,69400,Toyota,2004,N,1990
259,42,IL,C,1000,1574.66,3000000,FEMALE,High School,exercise,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,23,1,?,1,2,YES,8090,6090,70500,Nissan,2007,N,2009
153,31,OH,A,500,1106.69,0,MALE,Associate,reading,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,18,2,YES,0,3,NO,4970,0,29660,Nissan,2002,N,2010
95,36,OH,B,2000,1748.94,0,FEMALE,JD,exercise,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,13,1,YES,1,2,YES,18700,5100,23360,Jeep,2010,N,2009
54,23,IN,C,2000,1028.8,0,MALE,JD,kayaking,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,18,2,?,0,2,YES,16430,9100,42400,Jeep,2006,N,2001
369,46,OH,B,500,1750.03,3000000,MALE,PhD,base-jumping,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,3,2,?,2,0,YES,15400,8250,64000,Suburu,2010,N,1998
538,55,IN,B,1000,1506.26,1000000,MALE,High School,bungie-jumping,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,22,1,NO,1,2,NO,20000,7400,69240,Saab,2008,N,1992
62,27,OH,A,1000,1171.35,2000000,MALE,MD,movies,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,18,1,NO,0,1,NO,7290,3100,51900,Audi,2003,N,1994
202,30,OH,B,1000,1438.23,0,MALE,Associate,kayaking,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,19,1,YES,1,2,YES,9480,8600,83600,Ford,2003,N,2003
361,38,IN,A,2000,598.62,6000000,MALE,MD,board-games,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,14,1,?,2,1,YES,12720,19470,42140,Jeep,2008,N,2010
84,23,OH,A,1000,1031.85,0,MALE,JD,movies,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,14,2,?,1,0,YES,3720,12200,66260,Toyota,2007,N,1993
294,42,IL,C,500,1326.22,0,MALE,High School,yachting,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,16,3,NO,0,1,NO,7800,5500,55940,Saab,2001,N,1992
234,41,IN,C,2000,775.58,6000000,FEMALE,PhD,base-jumping,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,16,1,?,2,3,YES,7730,14330,35450,Mercedes,2003,N,1999
53,40,OH,B,1000,1007.66,0,FEMALE,College,movies,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,1,3,?,1,1,YES,4900,2300,57200,Dodge,1998,N,1997
205,47,IL,A,2000,1475.65,1000000,FEMALE,Masters,sleeping,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,22,3,NO,2,1,NO,10210,0,58700,Volkswagen,2002,N,2005
167,32,IL,A,2000,1058.08,0,MALE,PhD,exercise,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,9,4,YES,3,2,YES,7200,14800,53100,Volkswagen,2007,N,2004
50,31,IL,B,500,1176.86,0,FEMALE,Associate,chess,Single Vehicle Collision,Rear Collision,Total Loss,Other,NY,15,1,?,0,2,YES,9600,13300,41870,BMW,1992,N,1996
267,51,IL,C,2000,1355.78,4000000,FEMALE,Masters,exercise,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,10,1,?,3,4,YES,13520,14500,52900,Chevrolet,1999,N,2003
200,52,OH,B,500,1549.84,0,MALE,Associate,reading,Single Vehicle Collision,Rear Collision,Major Damage,Police,SC,14,2,NO,3,2,YES,11200,5500,53200,Dodge,2010,N,1990
312,44,IN,B,1000,1752.26,0,FEMALE,MD,kayaking,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,1,2,YES,1,2,NO,8400,14700,36090,Ford,2008,N,1994
316,51,OH,C,500,1078.79,0,FEMALE,MD,polo,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,12,3,NO,2,2,YES,16700,8000,53700,Volkswagen,2003,N,1992
256,39,OH,A,2000,1501.9,0,MALE,Associate,chess,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,20,1,NO,1,3,YES,1700,13760,51910,Nissan,1993,N,2009
177,30,IN,C,500,1539.89,0,FEMALE,MD,kayaking,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,10,4,?,3,1,NO,16900,13500,64300,Chevrolet,2007,N,2004
245,25,IN,A,2000,531.06,0,MALE,MD,camping,Multi-vehicle Collision,Front Collision,Major Damage,Fire,OH,7,4,YES,1,2,YES,3840,4500,39590,Nissan,2013,N,2007
218,46,IN,B,1000,1447.84,0,FEMALE,PhD,camping,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,6,2,?,0,2,NO,1210,16000,35800,Volkswagen,2011,N,2010
197,32,IL,A,1000,1346.12,0,MALE,Associate,base-jumping,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,20,3,?,3,3,YES,7210,7790,23140,Audi,2013,N,1990
